,R_mean,R_std,R_sum,G_mean,G_std,G_sum,B_mean,B_std,B_sum,total_mean,total_std,total_sum,class
826,108.0966796875,59.316195035081364,5423859,85.74639269770408,66.97897723468031,4302411,98.9944993622449,65.14098972817303,4967148,97.61252391581633,64.55120803433115,14693418,cellSpace
827,186.94046954719389,53.74715249312108,9379925,183.1061862244898,57.84692718726456,9187536,199.5111009247449,37.0915322482716,10010669,189.8525855654762,50.853011688490646,28578130,cellSpace
828,178.08890704719389,26.241811308433313,8935789,170.7997448979592,31.911943326099532,8570048,198.19569116709184,22.64999056232695,9944667,182.36144770408163,29.567311350864298,27450504,cellSpace
829,166.0963209502551,49.85441765779394,8334049,154.0330038265306,57.39259519981993,7728760,179.2145448022959,45.44282705374113,8992269,166.44795652636054,52.158936430647636,25055078,cellSpace
830,164.46847098214286,42.26126820576742,8252370,147.94321986607142,52.594651154524605,7423199,163.64610570790816,47.743668545908854,8211107,158.68593218537416,48.32224108673159,23886676,cellSpace
831,78.43829719387755,21.70579005493983,3935720,89.0846022002551,24.85363959867086,4469909,141.4255819515306,25.63233940244876,7096170,102.98282711522108,36.60283026717734,15501799,cellSpace
832,129.38382892219389,49.34399674856627,6491963,102.08761160714286,59.5660217460867,5122348,138.84323182397958,52.899043566198614,6966598,123.43822411777211,56.30205119263442,18580909,cellSpace
833,182.43781887755102,42.115673453861525,9154000,172.15963807397958,52.06353687745809,8638282,183.2346739477041,45.66560206653065,9193983,179.27737696641157,47.067327075775665,26986265,cellSpace
834,174.63865194515307,45.16581187126105,8762669,164.6437539859694,51.41552822852799,8261165,177.11304209183675,42.962917003264,8886824,172.13181600765307,46.96270596618105,25910658,cellSpace
835,198.6845703125,38.38568420700013,9969197,196.66047512755102,41.240141605251466,9867636,204.58498086734693,29.22487680006925,10265256,199.9766754357993,36.7976749932405,30102089,cellSpace
836,187.5665656887755,44.60096598622597,9411340,177.7635124362245,53.38173219297961,8919462,183.59709821428572,47.23343084455645,9212168,182.97572544642858,48.71167406582706,27542970,cellSpace
837,194.3751594387755,38.81140316863662,9752968,163.68116230867346,56.37184918160961,8212866,196.86043128188774,49.66487090600271,9877669,184.97225100977892,51.10043631048925,27843503,cellSpace
838,121.57680963010205,52.59796799079139,6100238,99.12786989795919,60.30391242704393,4973840,112.9342115752551,59.384365841672576,5666587,111.21296370110544,58.269581790449344,16740665,cellSpace
839,188.28166852678572,45.89813715516385,9447221,176.68881536989795,58.036131379542695,8865538,182.2126315369898,52.78387636689301,9142701,182.3943718112245,52.68844215632975,27455460,cellSpace
